TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,FTA,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,3PA_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
Portland Trail Blazers,2021,0,0.329,106.2,38.5,21.6,32.5,-9.1,44.7,48.7,19,14,12,21,22,12,8,3
Indiana Pacers,2021,0,0.305,111.5,41.4,21.4,32.6,-3.6,47.8,51.2,7,15,15,22,19,5,11,9
Oklahoma City Thunder,2021,0,0.293,103.7,38.3,19.9,35.2,-8.0,45.1,48.7,9,17,8,30,24,13,2,27
Detroit Pistons,2021,0,0.28,104.8,38.2,22.0,32.0,-7.7,45.0,48.1,11,27,16,13,13,8,4,1
Orlando Magic,2021,0,0.268,104.2,38.3,19.7,35.2,-8.1,45.8,49.0,14,16,11,28,11,27,5,17
Houston Rockets,2021,0,0.244,109.7,39.4,24.5,32.4,-8.3,45.1,48.5,22,7,4,11,30,22,3,5
Milwaukee Bucks,2022,0,0.707,116.9,42.7,22.4,37.5,3.4,52.3,52.1,6,4,4,28,28,11,26,29
Boston Celtics,2022,0,0.695,117.9,42.2,21.6,35.6,6.7,53.4,50.6,15,2,2,23,4,20,27,24
Philadelphia 76ers,2022,0,0.659,115.2,40.8,25.1,32.2,4.4,52.4,49.6,30,11,16,1,1,27,15,12
Denver Nuggets,2022,1,0.646,115.8,43.6,22.4,32.9,3.3,52.5,51.4,22,18,25,27,26,16,20,27
Cleveland Cavaliers,2022,0,0.622,112.3,41.6,22.5,31.4,5.6,53.1,49.6,27,19,24,24,19,21,18,22
Memphis Grizzlies,2022,0,0.622,116.9,43.7,23.8,34.6,4.0,51.9,50.7,4,16,11,25,30,4,7,16
Sacramento Kings,2022,0,0.585,120.7,43.6,25.1,32.9,2.6,51.1,49.9,16,5,6,3,12,23,21,20
New York Knicks,2022,0,0.573,116.0,42.0,25.5,34.0,2.8,50.9,52.1,12,12,8,7,22,3,17,13
Brooklyn Nets,2022,0,0.549,113.4,41.5,22.1,32.3,1.1,51.0,47.2,28,9,13,19,7,29,28,6
Phoenix Suns,2022,0,0.549,113.6,42.1,21.7,32.4,2.2,51.4,50.8,9,13,17,26,10,5,24,4
Golden State Warriors,2022,0,0.537,118.9,43.1,20.2,34.1,1.7,51.0,50.2,8,1,1,29,9,14,25,3
LA Clippers,2022,0,0.537,113.6,41.1,23.9,33.4,0.5,49.8,50.5,24,10,14,13,18,19,22,21
Miami Heat,2022,0,0.537,109.5,39.2,23.0,30.9,-0.5,49.6,49.8,26,17,10,10,2,22,29,28
Los Angeles Lakers,2022,0,0.524,117.2,42.9,26.6,35.7,0.7,51.1,50.5,13,24,26,2,20,18,8,30
Minnesota Timberwolves,2022,0,0.512,115.8,42.9,23.7,32.8,0.2,50.3,48.5,18,14,15,18,23,26,23,2
New Orleans Pelicans,2022,0,0.512,114.4,42.0,24.4,33.1,1.9,51.4,51.2,17,23,29,8,11,13,13,9
Atlanta Hawks,2022,0,0.5,118.4,44.6,22.6,33.2,0.1,50.0,50.0,3,25,28,16,3,9,10,25
Toronto Raptors,2022,0,0.5,112.9,41.9,23.4,30.3,1.5,49.6,50.2,5,27,21,17,16,2,16,17
Chicago Bulls,2022,0,0.488,113.1,42.5,21.8,33.9,1.3,51.2,49.3,21,29,30,20,5,28,14,23
Oklahoma City Thunder,2022,0,0.488,117.5,43.1,23.7,32.3,1.0,49.8,48.7,1,15,12,9,6,8,3,7
Dallas Mavericks,2022,0,0.463,114.2,40.0,25.1,31.2,-0.2,48.7,47.1,29,3,3,12,24,30,30,8
Utah Jazz,2022,0,0.451,117.1,42.5,23.8,34.1,-0.7,49.8,51.2,10,7,5,14,14,6,12,10
Indiana Pacers,2022,0,0.427,116.3,42.0,23.7,31.4,-3.3,48.2,48.2,11,6,7,15,13,17,5,5
Washington Wizards,2022,0,0.427,113.2,42.1,22.4,34.2,-1.2,50.4,50.5,20,21,23,21,15,24,11,26
Orlando Magic,2022,0,0.415,111.4,40.5,25.0,33.1,-2.3,48.5,50.5,23,26,27,5,17,15,9,15
Portland Trail Blazers,2022,0,0.402,113.4,40.5,24.6,31.1,-4.0,47.4,48.6,25,8,9,6,8,25,19,18
Charlotte Hornets,2022,0,0.329,111.0,41.3,23.6,33.5,-6.3,47.3,49.1,7,28,18,22,27,12,2,14
Houston Rockets,2022,0,0.268,110.7,40.6,25.3,32.9,-8.1,45.7,53.0,14,30,22,11,25,1,1,11
San Antonio Spurs,2022,0,0.268,113.0,43.1,21.2,31.9,-9.9,45.2,49.5,2,22,20,30,29,7,6,19
Detroit Pistons,2022,0,0.207,110.3,39.6,25.7,31.3,-7.9,44.9,49.1,19,20,19,4,21,10,4,1
